ИД,Город,Население,Площадь,Есть аэропорт
747,Каменск-Шахтинский,95306,160.000000,false
748,Константиновск,17926,298.000000,false
749,Красный Сулин,40866,93.600000,false
750,Миллерово,36493,51.000000,false
751,Морозовск,27644,26.000000,false
752,Новочеркасск,169039,128.000000,false
753,Новошахтинск,111087,147.000000,false
754,Пролетарск,20267,14.000000,false
755,Ростов-на-Дону,1091544,348.500000,true
756,Сальск,61312,43.883000,false
757,Семикаракорск,23884,140.000000,false
758,Таганрог,257692,95.000000,true
759,Цимлянск,15029,26.300000,true
760,Шахты,240152,158.200000,false
761,Касимов,33494,20.000000,false
762,Кораблино,12657,82.403000,false
763,Михайлов,11783,8.000000,false
764,Новомичуринск,19309,26.000000,false
765,Рыбное,18378,15.360000,false
766,Ряжск,21676,21.000000,false
767,Рязань,525062,224.000000,true
768,Сасово,28117,23.790000,false
769,Скопин,30374,30.900000,false
770,Спас-Клепики,5917,6.000000,false
