Город,Население,Площадь,Есть аэропорт
Крымск,57370,47.040000,false
Курганинск,47974,30.000000,false
Лабинск,62822,46.000000,false
Новокубанск,34847,27.970000,false
Новороссийск,241788,81.100000,false
Приморско-Ахтарск,32253,18.000000,false
Славянск-на-Кубани,63768,43.500000,false
Сочи,343285,176.770000,false
Темрюк,38014,20.100000,false
Тимашевск,53921,40.000000,false
Тихорецк,61825,46.020000,false
Туапсе,63233,33.410000,false
Усть-Лабинск,43268,32.000000,false
Хадыженск,21580,17.000000,false
Артемовск,2180,16.000000,false
Ачинск,109156,103.000000,false
Боготол,21029,60.910000,false
Бородино,17423,35.200000,false
Дивногорск,28271,56.600000,false
Дудинка,22207,105.000000,false
Енисейск,18769,15.000000,false
Железногорск,85559,100.000000,false
Заозерный,10683,11.000000,false
Зеленогорск,66018,162.000000,false
Игарка,6183,20.000000,false
Иланский,16108,52.000000,false
Канск,94230,96.300000,false
Кодинск,14835,7.000000,false
Красноярск,973826,348.000000,false
Лесосибирск,61146,277.000000,false
Минусинск,71171,62.000000,false
Назарово,52829,47.000000,false
Норильск,175301,23.160000,false
Сосновоборск,33090,26.600000,false
Ужур,16079,38.900000,false
Уяр,12666,27.700000,false
Шарыпово,38570,30.000000,false
Ялта,8497,283.000000,false
Алушта,28642,6.983000,false
Армянск,22468,16.200000,false
Бахчисарай,26363,55.000000,false
Белогорск,18199,117.600000,false
Джанкой,35700,26.000000,false
Евпатория,106840,65.000000,false
Керчь,144600,108.000000,false
Красноперекопск,29564,22.000000,false
Саки,23400,29.000000,false
Симферополь,362366,107.000000,false
Старый Крым,9485,9.970000,false
Судак,15368,15.000000,false
Феодосия,69786,35.200000,false
Щелкино,11194,3.420000,false
Ялта,78040,283.000000,false
Далматово,13913,170.000000,false
Катайск,14017,145.000000,false
Курган,333640,393.000000,false
Куртамыш,17098,97.000000,false
Макушино,8337,68.000000,false
Петухово,11291,41.000000,false
Шадринск,77744,174.000000,false
Шумиха,17821,28.200000,false
Щучье,10971,35.000000,false
Дмитриев,7721,7.940000,false
Железногорск,95057,112.000000,false
Курск,414595,190.750000,false
Курчатов,42691,56.500000,false
Льгов,21452,38.000000,false
Обоянь,13562,11.000000,false
Рыльск,15667,17.000000,false
Суджа,6036,4.000000,false
Фатеж,5404,5.000000,false
Щигры,17043,21.000000,false
Бокситогорск,16593,13.000000,false
Волосово,12162,8.000000,false
Волхов,47344,108.000000,false
Всеволожск,59689,62.260000,false
Выборг,80013,160.847000,false
Высоцк,1244,39.810000,false
Гатчина,92566,28.750000,false
Ивангород,9797,7.700000,false
Каменногорск,6761,11.500000,false
Кингисепп,48667,29.000000,false
Кириши,52826,32.000000,false
Кировск,25633,84.900000,false
Коммунар,20265,12.700000,false
Лодейное Поле,21053,74.009000,false
Луга,36409,13.000000,false
Любань,4188,7.000000,false
Никольское,19345,10.000000,false
Новая Ладога,8890,143.000000,false
Отрадное,23874,70.100000,false
Пикалево,21567,38.000000,false
Подпорожье,18729,30.000000,false
Приморск,6122,696.630000,false
Приозерск,18929,16.500000,false
Светогорск,15973,50.000000,false
Сертолово,47854,27.490000,false
Сланцы,33587,36.000000,false
Сосновый Бор,65901,88.400000,false
Сясьстрой,13747,12.200000,false
Тихвин,58843,24.000000,false
Тосно,39127,512.000000,false
Шлиссельбург,13305,16.000000,false
Грязи,46798,30.000000,false
Данков,21056,21.000000,false
Елец,108404,70.670000,false
Задонск,9695,12.580000,false
Лебедянь,20991,18.000000,false
Липецк,508124,330.150000,false
Усмань,18752,12.700000,false
Чаплыгин,12656,11.000000,false
Магадан,95925,295.000000,false
Сусуман,5865,28.000000,false
Волжск,55671,39.470000,false
Звенигово,11945,4.970000,false
Йошкар-Ола,248688,100.390000,false
Козьмодемьянск,21262,13.410000,false
Ардатов,9400,33.500000,false
Инсар,8687,52.200000,false
Ковылкино,21307,40.600000,false
Краснослободск,10151,10.500000,false
Рузаевка,47529,26.600000,false
Саранск,297425,81.478000,false
Темников,7247,19.500000,false
Москва,11514330,2562.000000,false
Апрелевка,18467,99.000000,false
Балашиха,215353,97.800000,false
Бронницы,21102,22.000000,false
Верея,5368,5.000000,false
Видное,56798,16.100000,false
Волоколамск,23386,10.000000,false
Воскресенск,91301,24.500000,false
Высоковск,10642,4.000000,false
Голицыно,17447,20.000000,false
Дедовск,29280,7.000000,false
Дзержинский,47125,15.700000,false
Дмитров,61454,26.000000,false
Долгопрудный,90976,30.700000,false
Домодедово,96123,159.000000,false
Дрезна,11815,2.000000,false
Дубна,70569,7.100000,false
Егорьевск,70133,29.000000,false
Жуковский,102729,47.300000,false
Зарайск,24648,20.500000,false
Звенигород,16395,47.000000,false
Ивантеевка,58594,15.000000,false
Истра,35106,7.000000,false
Кашира,41880,16.000000,false
Клин,80584,42.000000,false
Коломна,144642,65.100000,false
Королев,183452,35.600000,false
Котельники,32347,14.240000,false
Красноармейск,26294,156.000000,false
Красногорск,116738,66.000000,false
Краснозаводск,13432,40.400000,false
Краснознаменск,36057,6.090000,false
Кубинка,22918,4.000000,false
Куровское,21821,9.000000,false
Ликино-Дулево,31331,14.000000,false
Лобня,74350,29.500000,false
Лосино-Петровский,22550,9.060000,false
Луховицы,29849,41.000000,false
Лыткарино,55147,17.000000,false
Люберцы,171978,44.000000,false
Можайск,31388,15.000000,false
Мытищи,173341,34.590000,false
Наро-Фоминск,64640,22.000000,false
Ногинск,99762,52.090000,false
Одинцово,139021,7.750000,false
Озеры,25788,12.000000,false
Орехово-Зуево,120620,36.000000,false
Павловский Посад,63771,39.000000,false
Пересвет,14142,19.000000,false
Подольск,187956,40.390000,false
Протвино,37308,26.000000,false
Пушкино,102840,60.330000,false
Пущино,20263,1823.000000,false
Раменское,96355,59.460000,false
Реутов,87195,9.000000,false
Рошаль,21265,35.000000,false
Руза,13495,17.380000,false
Сергиев Посад,110878,50.000000,false
Серпухов,126496,32.000000,false
Солнечногорск,52996,21.000000,false
Старая Купавна,21859,10.620000,false
Ступино,66942,35.500000,false
Талдом,13819,46.200000,false
Фрязино,55449,9.000000,false
Химки,207125,109.790000,false
Хотьково,21612,11.000000,false
Черноголовка,20986,2.023000,false
Чехов,60677,23.400000,false
Шатура,32836,36.000000,false
Щелково,110380,28.000000,false
Электрогорск,22120,39.000000,false
Электросталь,155324,51.450000,false
Электроугли,20120,4.500000,false
Яхрома,13248,14.000000,false
Апатиты,59690,37.500000,false
Гаджиево,11089,135.000000,false
Заозерск,11206,118.000000,false
Заполярный,15835,0.000000,false
Кандалакша,35659,0.000000,false
Кировск,28659,84.900000,false
Ковдор,18836,8.000000,false
Кола,10447,10.000000,false
Мончегорск,45381,0.000000,false
Мурманск,307664,154.400000,false
Оленегорск,23079,1870.000000,false
Островной,2177,76.000000,false
Полярные Зори,15106,940.000000,false
Полярный,17304,358.050000,false
Североморск,50076,60.000000,false
Снежногорск,12698,23.100000,false
Нарьян-Мар,21296,24.000000,false
Арзамас,106367,42.000000,false
Балахна,51526,48.000000,false
Богородск,25497,39.200000,false
Бор,78079,147.000000,false
Ветлуга,8956,18.200000,false
Володарск,9924,24.970000,false
Ворсма,11622,22.800000,false
Выкса,56196,35.650000,false
Горбатов,2278,176.708000,false
Городец,30699,124.000000,false
Дзержинск,240762,421.000000,false
Заволжье,40265,20.100000,false
Княгинино,6708,10.900000,false
Кстово,66641,18.000000,false
Кулебаки,35762,938.900000,false
Лукоянов,14949,57.300000,false
Лысково,21882,2.330000,false
Навашино,16413,13.000000,false
Нижний Новгород,1250615,410.600000,false
Павлово,60699,39.000000,false
Первомайск,14567,1227.000000,false
Перевоз,9201,74.190000,false
Саров,92073,232.000000,false
Семенов,24472,14.000000,false
Сергач,21387,20.000000,false
Урень,12311,100.000000,false
Чкаловск,12371,7.000000,false
Шахунья,21337,2.590000,false
Боровичи,54731,45.410000,false
Валдай,16099,28.400000,false
Великий Новгород,218724,90.080000,false
Малая Вишера,12461,29.000000,false
Окуловка,12464,27.400000,false
Пестово,15911,15.100000,false
Сольцы,10317,10.150000,false
Старая Русса,32235,18.540000,false
Холм,3829,9.000000,false
Чудово,16148,14.000000,false
